time,dlh,xlh,sy
2023-04-12T08:19:29.052Z,0.5,0,4.75
2023-04-12T12:23:29.058Z,0,0,0
2023-04-12T16:27:29.064Z,0,0,0
2023-04-12T20:31:29.07Z,0,9.75,1.25
2023-04-13T00:35:29.076Z,0,0,0
2023-04-13T04:39:29.082Z,3,0,6.25
2023-04-13T08:43:29.088Z,8,0,0
2023-04-13T12:47:29.094Z,0,0,0
2023-04-13T16:51:29.1Z,0,0,0
2023-04-13T20:55:29.106Z,0,0,1
2023-04-14T00:59:29.112Z,0,0,0
2023-04-14T05:03:29.118Z,6.2,0,0
2023-04-14T09:07:29.124Z,3,0,0
2023-04-14T13:11:29.13Z,0,0,0
2023-04-14T17:15:29.136Z,0,0,1
2023-04-14T21:19:29.142Z,0,0,0
2023-04-15T01:23:29.148Z,2.75,8,3.25
2023-04-15T05:27:29.154Z,0,0,0
2023-04-15T09:31:29.16Z,0,0,6.75
2023-04-15T13:35:29.166Z,0,0,0
2023-04-15T17:39:29.172Z,0,0,0.5
2023-04-15T21:43:29.178Z,0,0,0
2023-04-16T01:47:29.184Z,15,13.75,5.25
2023-04-16T05:51:29.19Z,0,0,0
2023-04-16T09:55:29.196Z,5,0,10
2023-04-16T13:59:29.202Z,0,0,0
2023-04-16T18:03:29.208Z,0,0,0.8
2023-04-16T22:07:29.214Z,0,0,0
2023-04-17T02:11:29.22Z,5.25,1.25,7.5
2023-04-17T06:15:29.226Z,0,0,0
2023-04-17T10:19:29.232Z,12.75,0,7.25
2023-04-17T14:23:29.238Z,0,0,0
2023-04-17T18:27:29.244Z,0,0,2.75
2023-04-17T22:31:29.25Z,0,0,0
2023-04-18T02:35:29.256Z,6,7,4.75
2023-04-18T06:39:29.262Z,0,0,0
2023-04-18T10:43:29.268Z,10.25,0,0
2023-04-18T14:47:29.274Z,0,0,0
2023-04-18T18:51:29.28Z,0,0,0.75
2023-04-18T22:55:29.286Z,0,0,0
2023-04-19T02:59:29.292Z,5.25,5.25,10
2023-04-19T07:03:29.298Z,0.2,0,4.4
2023-04-19T11:07:29.304Z,0,0,0
