time,dlh,xlh
2023-05-06T09:47:29.904Z,1.75,0
2023-05-06T13:51:29.91Z,0,0
2023-05-06T17:55:29.916Z,0,0
2023-05-06T21:59:29.922Z,0,0
2023-05-07T02:03:29.928Z,0,0
2023-05-07T06:07:29.934Z,0,0
2023-05-07T10:11:29.94Z,0,0
2023-05-07T14:15:29.946Z,0,0
2023-05-07T18:19:29.952Z,0,0
2023-05-07T22:23:29.958Z,0,0
2023-05-08T02:27:29.964Z,0.75,0
2023-05-08T06:31:29.97Z,0,0
2023-05-08T10:35:29.976Z,2.75,0
2023-05-08T14:39:29.982Z,0,0
2023-05-08T18:43:29.988Z,0,0
2023-05-08T22:47:29.994Z,0,0
2023-05-09T02:51:30Z,1,0
2023-05-09T06:55:30.006Z,0,0
2023-05-09T10:59:30.012Z,1,0
2023-05-09T15:03:30.018Z,0,0
2023-05-09T19:07:30.024Z,0,0
2023-05-09T23:11:30.03Z,0,0
2023-05-10T03:15:30.036Z,0,0
2023-05-10T07:19:30.042Z,0.25,0
2023-05-10T11:23:30.048Z,0,0
2023-05-10T15:27:30.054Z,0,0
2023-05-10T19:31:30.06Z,0,0
2023-05-10T23:35:30.066Z,0,0
2023-05-11T03:39:30.072Z,0,0
2023-05-11T07:43:30.078Z,0,0
2023-05-11T11:47:30.084Z,0,0
2023-05-11T15:51:30.09Z,0,0
2023-05-11T19:55:30.096Z,0,0
2023-05-11T23:59:30.102Z,0,0
2023-05-12T04:03:30.108Z,0,0
2023-05-12T08:07:30.114Z,0.5,0
2023-05-12T12:11:30.12Z,0,0
2023-05-12T16:15:30.126Z,0,0
2023-05-12T20:19:30.132Z,0,0
2023-05-13T00:23:30.138Z,0,0
2023-05-13T04:27:30.144Z,0,0
2023-05-13T08:31:30.15Z,0,0
2023-05-13T12:35:30.156Z,0,0
2023-05-13T16:39:30.162Z,0,0
2023-05-13T20:43:30.168Z,0,0
2023-05-14T00:47:30.174Z,0,0
2023-05-14T04:51:30.18Z,0,0
2023-05-14T08:55:30.186Z,0,0
2023-05-14T12:59:30.192Z,0,0
2023-05-14T17:03:30.198Z,0,0
2023-05-14T21:07:30.204Z,0,0
2023-05-15T01:11:30.21Z,0,0
2023-05-15T05:15:30.216Z,0,0
2023-05-15T09:19:30.222Z,0.25,0
2023-05-15T13:23:30.228Z,0,0
2023-05-15T17:27:30.234Z,0,0
2023-05-15T21:31:30.24Z,0,0
2023-05-16T01:35:30.246Z,0,0
2023-05-16T05:39:30.252Z,0,0
2023-05-16T09:43:30.258Z,0.25,0
2023-05-16T13:47:30.264Z,0,0
2023-05-16T17:51:30.27Z,0,0
2023-05-16T21:55:30.276Z,0,0
2023-05-17T01:59:30.282Z,0,0
2023-05-17T06:03:30.288Z,0,0
2023-05-17T10:07:30.294Z,0.25,0
2023-05-17T14:11:30.3Z,0,0
2023-05-17T18:15:30.306Z,0,0
2023-05-17T22:19:30.312Z,0,0
2023-05-18T02:23:30.318Z,0.25,0
2023-05-18T06:27:30.324Z,0,0
2023-05-18T10:31:30.33Z,0.25,0
2023-05-18T14:35:30.336Z,0,0
2023-05-18T18:39:30.342Z,0,0
2023-05-18T22:43:30.348Z,0,0
2023-05-19T02:47:30.354Z,0,0
2023-05-19T06:51:30.36Z,0,0
2023-05-19T10:55:30.366Z,1.25,0
2023-05-19T14:59:30.372Z,0,0
2023-05-19T19:03:30.378Z,0,0
2023-05-19T23:07:30.384Z,0,0
2023-05-20T03:11:30.39Z,1,0
2023-05-20T07:15:30.396Z,1.25,0
2023-05-20T11:19:30.402Z,0,0
2023-05-20T15:23:30.408Z,0,0
2023-05-20T19:27:30.414Z,0,0
2023-05-20T23:31:30.42Z,0,0
2023-05-21T03:35:30.426Z,0.75,0
2023-05-21T07:39:30.432Z,1.5,0
2023-05-21T11:43:30.438Z,0,0
2023-05-21T15:47:30.444Z,0,0
2023-05-21T19:51:30.45Z,0,0
2023-05-21T23:55:30.456Z,0,0
2023-05-22T03:59:30.462Z,0.75,0
2023-05-22T08:03:30.468Z,0.6,0
2023-05-22T12:07:30.474Z,0,0
2023-05-22T16:11:30.48Z,0,0
2023-05-22T20:15:30.486Z,0,0
2023-05-23T00:19:30.492Z,0,0
2023-05-23T04:23:30.498Z,1,0
2023-05-23T08:27:30.504Z,2,0
2023-05-23T12:31:30.51Z,0,0
2023-05-23T16:35:30.516Z,0,0
2023-05-23T20:39:30.522Z,0,0
2023-05-24T00:43:30.528Z,0,0
2023-05-24T04:47:30.534Z,0.5,0
2023-05-24T08:51:30.54Z,0.75,0
2023-05-24T12:55:30.546Z,0,0
2023-05-24T16:59:30.552Z,0,0
2023-05-24T21:03:30.558Z,0,0
2023-05-25T01:07:30.564Z,0.5,0
2023-05-25T05:11:30.57Z,0,0
2023-05-25T09:15:30.576Z,0.75,0
2023-05-25T13:19:30.582Z,0,0
2023-05-25T17:23:30.588Z,0,0
2023-05-25T21:27:30.594Z,0,0
2023-05-26T01:31:30.6Z,0.5,0
2023-05-26T05:35:30.606Z,0,0
2023-05-26T09:39:30.612Z,0.75,0
2023-05-26T13:43:30.618Z,0,0
2023-05-26T17:47:30.624Z,0,0
2023-05-26T21:51:30.63Z,0,0
2023-05-27T01:55:30.636Z,0,0
2023-05-27T05:59:30.642Z,0,0
2023-05-27T10:03:30.648Z,0,0
2023-05-27T14:07:30.654Z,0,0
2023-05-27T18:11:30.66Z,0,0
2023-05-27T22:15:30.666Z,0,0
2023-05-28T02:19:30.672Z,0,0
2023-05-28T06:23:30.678Z,0,0
2023-05-28T10:27:30.684Z,0,0
2023-05-28T14:31:30.69Z,0,0
2023-05-28T18:35:30.696Z,0,0
2023-05-28T22:39:30.702Z,0,0
2023-05-29T02:43:30.708Z,0.75,0
2023-05-29T06:47:30.714Z,0,0
2023-05-29T10:51:30.72Z,1,0
2023-05-29T14:55:30.726Z,0,0
2023-05-29T18:59:30.732Z,0,0
2023-05-29T23:03:30.738Z,0,0
2023-05-30T03:07:30.744Z,0.5,0
2023-05-30T04:00:01Z,0,0
